DATE,CPIAUCSL
1991-01-01,134.7
1991-02-01,134.8
1991-03-01,134.8
1991-04-01,135.1
1991-05-01,135.6
1991-06-01,136.0
1991-07-01,136.2
1991-08-01,136.6
1991-09-01,137.0
1991-10-01,137.2
1991-11-01,137.8
1991-12-01,138.2
1992-01-01,138.3
1992-02-01,138.6
1992-03-01,139.1
1992-04-01,139.4
1992-05-01,139.7
1992-06-01,140.1
1992-07-01,140.5
1992-08-01,140.8
1992-09-01,141.1
1992-10-01,141.7
1992-11-01,142.1
1992-12-01,142.3
1993-01-01,142.8
1993-02-01,143.1
1993-03-01,143.3
1993-04-01,143.8
1993-05-01,144.2
1993-06-01,144.3
1993-07-01,144.5
1993-08-01,144.8
1993-09-01,145.0
1993-10-01,145.6
1993-11-01,146.0
1993-12-01,146.3
1994-01-01,146.3
1994-02-01,146.7
1994-03-01,147.1
1994-04-01,147.2
1994-05-01,147.5
1994-06-01,147.9
1994-07-01,148.4
1994-08-01,149.0
1994-09-01,149.3
1994-10-01,149.4
1994-11-01,149.8
1994-12-01,150.1
1995-01-01,150.5
1995-02-01,150.9
1995-03-01,151.2
1995-04-01,151.8
1995-05-01,152.1
1995-06-01,152.4
1995-07-01,152.6
1995-08-01,152.9
1995-09-01,153.1
1995-10-01,153.5
1995-11-01,153.7
1995-12-01,153.9
